"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.267753749E-1,-1.380682274E0,7.180704172E0,6.216728107E0,9.597734332E0
6.367813749E-1,1.234116552E0,7.101594268E0,7.658505306E0,1.051705226E1
6.467883750E-1,3.455794498E0,5.525442206E0,8.940889161E0,1.106401944E1
6.567943748E-1,3.673883070E0,3.107465629E0,7.486075594E0,8.899162166E0
6.668013749E-1,4.809850014E0,6.578146845E-1,8.580770259E0,9.858853663E0
6.768076250E-1,5.069766936E0,4.402362818E-1,9.858765779E0,1.109466572E1
6.868136248E-1,4.889065460E0,1.950169796E0,1.214401436E1,1.323567936E1
6.968206249E-1,4.838938742E0,3.454890518E0,1.147823635E1,1.292677479E1
7.068266249E-1,4.162515879E0,3.305957842E0,9.408111513E0,1.080594549E1
7.168336250E-1,3.644096769E0,2.558597728E0,5.458813183E0,7.044466265E0
7.268396248E-1,3.915313727E0,2.244177155E0,2.453354278E0,5.136629235E0
7.368456249E-1,5.190272788E0,1.577303379E0,2.860659041E0,6.132714547E0
7.468526249E-1,5.675087657E0,-1.388742954E0,8.725577724E-1,5.907333068E0
7.568586250E-1,5.719818857E0,-4.054694976E0,-3.952527747E0,8.048562275E0
7.668656248E-1,5.876161709E0,-5.487579145E0,-5.149277959E0,9.547662793E0
7.768716249E-1,5.630285121E0,-7.028596458E0,-5.257267846E0,1.042785423E1
7.868776249E-1,4.525764796E0,-9.147985845E0,-6.631879833E0,1.217168937E1
7.968846250E-1,2.840314824E0,-1.154486304E1,-7.852084397E0,1.424803426E1
8.068906248E-1,7.434103203E-1,-1.378067692E1,-8.520366182E0,1.621901215E1
8.168976249E-1,-1.625312528E0,-1.624153727E1,-1.004007741E1,1.916330681E1
8.269036249E-1,-4.253383949E0,-1.945669428E1,-1.215210457E1,2.333083524E1
8.369096250E-1,-6.475084991E0,-2.283871212E1,-1.365070618E1,2.738385065E1
8.469166248E-1,-7.893089751E0,-2.499493371E1,-1.428532788E1,2.985160246E1
8.569226249E-1,-8.791201025E0,-2.471981987E1,-1.374960131E1,2.962104397E1
8.669286249E-1,-8.963616704E0,-2.322911902E1,-1.240361436E1,2.781704593E1
8.769356250E-1,-8.024647425E0,-2.190132861E1,-1.067008098E1,2.564983020E1
8.869416248E-1,-7.341038918E0,-1.991253152E1,-8.693863011E0,2.293431966E1
8.969486249E-1,-6.986157367E0,-1.697080785E1,-6.470120705E0,1.945962939E1
9.069546249E-1,-6.750863655E0,-1.369598351E1,-4.039769958E0,1.579474171E1
9.169606250E-1,-5.513399280E0,-9.476229821E0,-2.657550159E0,1.128091646E1
9.269676248E-1,-2.572235189E0,-4.091803161E0,-1.454840464E0,5.047356511E0
9.369736249E-1,2.258075402E0,2.548496663E0,-4.473792404E-1,3.434223048E0
9.469806249E-1,8.544485362E0,1.019299263E1,1.393092113E0,1.337333296E1
9.569866250E-1,1.444919610E1,1.738503396E1,3.927661877E0,2.294439369E1
9.669926248E-1,1.866565488E1,2.009568970E1,8.144959735E0,2.861090327E1
9.769996249E-1,2.036887864E1,1.845377518E1,1.803939470E1,3.287632577E1
9.870056249E-1,1.856561838E1,1.669132965E1,2.998011073E1,3.901396815E1
9.970126250E-1,1.674650515E1,1.503144196E1,3.827245421E1,4.439786519E1
1.007018625E0,1.729857236E1,1.298880721E1,4.120271851E1,4.653615509E1
1.017024625E0,1.797339834E1,1.017773490E1,3.892777740E1,4.406814256E1
1.027031625E0,1.828247047E1,6.414916558E0,3.317222737E1,3.841609753E1
1.037037625E0,1.771164189E1,2.241224896E0,2.544718543E1,3.108511853E1
1.047044625E0,1.572420135E1,-1.033052294E0,1.776955037E1,2.375025528E1
1.057050625E0,1.393495804E1,-3.949225532E0,1.098229072E1,1.817663741E1
1.067056625E0,1.210189921E1,-7.625380830E0,5.965685504E0,1.549812249E1
1.077063625E0,1.000099813E1,-1.144743907E1,2.472948298E0,1.540062655E1
1.087069625E0,7.901504479E0,-1.460592253E1,7.315042198E-2,1.660638723E1
1.097076625E0,5.914037633E0,-1.753589564E1,-7.997716320E-1,1.852358258E1
1.107082625E0,4.205698443E0,-2.052465782E1,-1.148211890E-1,2.095143579E1
1.117088625E0,2.673282969E0,-2.387716125E1,-9.049349749E-1,2.404338118E1
1.127095625E0,4.162749767E-2,-2.823360822E1,-3.999998367E0,2.851558088E1
1.137101625E0,-4.583375657E0,-3.261637234E1,-4.785095242E0,3.328261128E1
1.147107625E0,-9.628721112E0,-3.574340246E1,-4.226658665E0,3.725812305E1
1.157114625E0,-1.164587837E1,-3.625560920E1,-2.139038955E0,3.814015166E1
1.167120625E0,-1.104352160E1,-3.472637052E1,1.488771856E0,3.647048972E1
1.177127625E0,-9.426892769E0,-3.217853985E1,4.423830870E0,3.382151702E1
1.187133625E0,-8.431811271E0,-2.943963387E1,4.747614589E0,3.098914855E1
1.197139625E0,-7.113023821E0,-2.679774490E1,2.855818132E0,2.787238663E1
1.207146625E0,-4.920497460E0,-2.406015805E1,3.997893369E-1,2.456139923E1
1.217152625E0,-1.206750413E0,-2.074852432E1,-2.327439167E0,2.091349997E1
1.227159625E0,2.189991738E0,-1.650819603E1,-4.975539640E0,1.738023575E1
1.237165625E0,6.103050633E0,-1.067753735E1,-6.962900067E0,1.413290516E1
1.247171625E0,1.037710624E1,-2.754529738E0,-8.143868644E0,1.347569533E1
1.257178625E0,1.219381744E1,7.009346840E0,-7.760712882E0,1.606389714E1
1.267184625E0,1.473781116E1,1.632471040E1,-6.285303082E0,2.287365914E1
1.277191625E0,1.774033768E1,2.362019717E1,-3.647850389E0,2.976474606E1
1.287197625E0,2.100961185E1,2.915475051E1,-3.018533864E0,3.606265123E1
1.297203625E0,2.369530349E1,3.375426624E1,-3.557142532E0,4.139409571E1
1.307210625E0,2.470200223E1,3.736480730E1,-3.308921796E0,4.491399228E1
1.317216625E0,2.447590210E1,3.651321881E1,-3.178660449E0,4.407254036E1
1.327223625E0,2.386651230E1,3.049370208E1,-2.848554136E0,3.882770321E1
1.337229625E0,2.235148703E1,2.283916821E1,-8.524059284E-1,3.196784592E1
1.347235625E0,1.922241272E1,1.588172534E1,2.796998650E0,2.509090577E1
1.357242625E0,1.562537990E1,9.501185153E0,5.695709617E0,1.915374962E1
1.367248625E0,1.189347988E1,3.590845299E0,7.466064084E0,1.449452126E1
1.377255625E0,8.938923912E0,-1.887885840E0,7.944807204E0,1.210737111E1
1.387261625E0,7.998513880E0,-6.059173712E0,7.982001343E0,1.282194041E1
1.397267625E0,8.130699545E0,-1.012022987E1,7.126885230E0,1.480945039E1
1.407274625E0,7.207345841E0,-1.479535010E1,6.205083377E0,1.758838476E1
1.417280625E0,6.008773052E0,-1.934425700E1,6.100830445E0,2.115480477E1
1.427287625E0,3.852045684E0,-2.377277676E1,4.342032416E0,2.447113435E1
1.437293625E0,-1.258607907E0,-2.869073185E1,1.128875733E0,2.874050362E1
1.447299625E0,-8.215850208E0,-3.236076482E1,-5.433051521E-1,3.339183246E1
1.457306625E0,-1.315877759E1,-3.393530071E1,-1.183022119E0,3.641644688E1
1.467312625E0,-1.459354982E1,-3.474880511E1,-1.049048960E0,3.770347009E1
1.477318625E0,-1.422114417E1,-3.412501011E1,1.896953702E-2,3.696968510E1
1.487325625E0,-1.246987033E1,-3.144540660E1,1.776985794E0,3.387431093E1
1.497331625E0,-1.003197200E1,-2.850918983E1,2.714292124E0,3.034438579E1
1.507338625E0,-8.132414533E0,-2.562066998E1,1.803263766E0,2.694079911E1
1.517344625E0,-6.505875844E0,-2.309903250E1,-3.192942274E-1,2.399986816E1
1.527350625E0,-4.596117325E0,-2.081414177E1,-3.032870067E0,2.153023671E1
1.537357625E0,-2.769299220E0,-1.840238166E1,-5.592232611E0,1.943166834E1
1.547363625E0,-5.319463509E-1,-1.561014791E1,-7.406654034E0,1.728635903E1
1.557370625E0,2.062262967E0,-1.216919832E1,-8.512823274E0,1.499368121E1
1.567376625E0,4.156370455E0,-8.201264913E0,-8.289378945E0,1.237941698E1
1.577382625E0,7.323469205E0,-4.354650707E0,-6.533791037E0,1.073716021E1
1.587389625E0,1.476057320E1,-2.167644703E-1,-6.079936005E0,1.596518493E1
1.597395625E0,2.402817846E1,6.499754394E0,-8.003843617E0,2.614692486E1
1.607402625E0,2.742138319E1,1.341024411E1,-7.339538523E0,3.139483602E1
1.617408625E0,2.658898760E1,1.774988385E1,-3.462595394E0,3.215621566E1
1.627414625E0,2.763846224E1,1.899791824E1,-2.352871047E0,3.362055167E1
1.637421625E0,3.235168526E1,1.793898865E1,1.250328249E0,3.701354041E1
1.647427625E0,3.264894133E1,1.694873695E1,9.557435367E0,3.800733647E1
1.657434625E0,2.647432137E1,1.392927104E1,1.770981990E1,3.476423456E1
1.667440625E0,2.281085365E1,9.842278969E0,2.347421091E1,3.417958568E1
1.677446417E0,2.272385410E1,5.277077043E0,2.429948926E1,3.368510451E1
1.687453417E0,2.358542261E1,2.090737153E0,2.239542067E1,3.259138243E1
1.697459416E0,2.265893129E1,-1.815914217E-1,1.913015185E1,2.965506453E1
1.707466417E0,2.005719164E1,-3.391735619E0,1.476666366E1,2.513661000E1
1.717472417E0,1.707367909E1,-7.023653222E0,9.727951870E0,2.086804422E1
1.727478417E0,1.356434514E1,-9.977196454E0,5.408504909E0,1.768580882E1
1.737485416E0,1.018503573E1,-1.288034721E1,1.484268331E0,1.648761201E1
1.747491417E0,7.433963454E0,-1.544779412E1,-1.555694994E0,1.721389969E1
1.757497417E0,5.189627255E0,-1.722014131E1,-3.649617417E0,1.835170851E1
1.767504417E0,2.404361920E0,-1.907312278E1,-4.447176463E0,1.973175987E1
1.777510416E0,-3.458851714E-1,-2.089427903E1,-4.276615521E0,2.133025956E1
1.787517417E0,-3.233405298E0,-2.369670916E1,-5.602247722E0,2.456367469E1
1.797523417E0,-7.872362541E0,-2.674082108E1,-5.939309884E0,2.850124569E1
1.807529417E0,-1.310361495E1,-2.885692609E1,-4.048219770E0,3.195019548E1
1.817536416E0,-1.690613063E1,-3.189008735E1,-1.802924627E0,3.613925098E1
1.827542417E0,-1.810102786E1,-3.442781636E1,1.539744959E0,3.892675897E1
1.837549417E0,-1.709858238E1,-3.400325003E1,6.116988641E0,3.854867160E1
1.847555417E0,-1.560631447E1,-3.189936805E1,9.848168285E0,3.685258677E1
1.857561416E0,-1.101161451E1,-2.927747187E1,7.733325108E0,3.222158175E1
1.867568417E0,-8.433278922E0,-2.743863715E1,4.992350385E0,2.913627575E1
1.877574417E0,-6.673507916E0,-2.530490162E1,1.889999608E0,2.623825171E1
1.887581417E0,-4.498479348E0,-2.304975217E1,-1.442846071E0,2.352890130E1
1.897587416E0,-1.561303935E0,-2.030670870E1,-4.125018854E0,2.078017971E1
1.907593417E0,2.234716360E0,-1.659436879E1,-6.572337636E0,1.798784741E1
1.917600417E0,6.775379861E0,-1.201287652E1,-8.541391600E0,1.622252585E1
